"Ref","OND_Node_Title","tlahtolli","IDIEZ gramática","IDIEZ def. náhuatl","IDIEZ def. español","SShort_IDIEZ","IDIEZ traduc. inglés","IDIEZ morfología","Credit"
"WHP-174273","axalli.","āxālli.","tlat.","Piltetztzin nelciltic tlen oncah hueyi atl itenno. “Nopa quicouhtoc miac axalli pampa mochantiz. ”","arena.","","sand.","ātl, xālli.","IDIEZ"
"WHP-174280","axcatia.","āxcātiā.","tlach3.","1. nic. Macehualli quicahuilia ceyoc nochi tlamantli tlen ya quimocuitlahuiyaya pampa tetahtzinya zo miquiya. “Felipe quiaxcatih iixhuiuh nochi itorohhuan huan ichan pampa tlahuel quiicnelia.” 2. nimo. Macehualli mocahuilia ya ce tlamantli tlen ceyoc iaxca. “Nomimi moaxcatih ce cahuayoh tlen notatah, quihuicac ichan huan naman quiixpantihqueh.”","","","1. leave s.t. for s.o. as an inheritance. 2. to take as one’s own s.o. else’s property.","āxcāitl, ti2, a4.","IDIEZ"
"WHP-174294","axixa.","āxīxa.","tlach2.","nic./nimo. Macehualli, tecuani zo tlapiyalli quitequilia iaxix ceyoc zo ce tlenhueli. “Chichi quiaxixqui tlaquetzalli.”","A. 1. nic. una persona o un animal silvestre le echa su agua a otra persona, animal silvestre o cosa. “El perro orinó al árbol”. 2. nim. una persona o un animal silvestre saca su agua. “Quiero orinar, por eso voy al baño”. 3. nimo. una persona o un animal silvestre orina a sí mismo. “Juan Tomás se orinó porque tomó mucho vino”.","","1. to urinate; 2. to urinate on oneself; 3. to urinate on another person.","ātl, xīxa.","IDIEZ"
"WHP-174307","axixtli.","āxīxtli.","tlat.","Quenhuac ce atl tlen quiquixtia macehualli, tlapiyalli zo tecuani quemman maxixa. “Ne campa tlanamacah mihyotia zan axixtli pampa ihuintinih zan nopayoh yohuih cuatenno.”","la orina.","","urine.","āxīxa (tlachiuhtli).","IDIEZ"
"WHP-174337","cacalaquia.","cācalaquiā.","tlach3.","nic. Macehualli zo tecuani eli quihuica ce tlenhueli iihtico ce tlamantli zo ce canahya. “Juan quicacalaquih camohtli pan coxtalli pampa tlahuel zoquiyoh huan iuhquinon axcanah quipanzocohuiz. ”","","","to put s.t. in a place after all.","calaquiā (tlaomp. )","IDIEZ"
"WHP-174352","cacapatza.","cacapatza.","tlach2.","nitla. Macehualli zo tlapiyalli caquizti chicahuac campa motlacxitia miac hueltah. “Peuhqui nitlacacapatza quemman nipanoc campa mopotzohtoqueh axcanelimeh. ”","A. nitla. Una persona y un animal domestico se para fuerte cuando camina y se escucha lejos. “Nosotros cuando cortabamos, uno de mis hermanos siempre le tocaba zapatiar el frijol para sacarle su semilla”.","","to make noise by stomping one’s feet.","capāniā (tlaomp. )","IDIEZ"
"WHP-174360","cacahua.","cācāhua.","tlach2.","1. nic. Macehualli, tlapiyalli zo tecuani eli quitlalia canahya ce tlamantli tlacualiztli tlen quicuayaya quemman ixhuicca. “Nochichi quicacauhqui itlaxcal pampa ya quicua zan ome huan noma quimacac eyi. ” 2. nic. Macehualli tlacatl quemman quiichtequi ce ichpocatl pan ce tlaixpiyalli zan tonilia zampa quihuihuica ichan pampa axquihuelittaqueh itatahhuan. “Maribel quicacauhqueh campa tlaahcitoya pampa iyexnan axquihuelittac. ”","","","1. to leave uneaten food someplace after all. 2. to return a stolen bride to her parents after all.","cāhua (tlaomp. )","IDIEZ"
"WHP-174409","calani.","calāni.","","Ce tlamantli tepoztli zo ce tlamantli tlachihchihualli ica zoquitl mooholinia zo huetzi huan caquizti chicahuac. “Na huan notatah tiihhuiyah millah huan quemman tiahcicoh nochan ticcacqueh calanqui ce tlamantli calihtic; notatah quitlachilito huan quiittac ce topitzin calactoya pan ce pilchachapaltzin. ”","A. una cosa se mueve o se cai y se oye fuerte. “Yo y mi papá fuimos a la milpa y cuando llegamos a mi casa oimos que se cayo algo adentro, mi papá fue a ver y vio un gusano metido en un traste”. B","","for a metal or clay object to make a noise upon shaking or falling to the ground.","","IDIEZ"
"WHP-174411","calaquia.","calaquiā.","tlach3.","nic. Macehualli, tecuani zo tlapiyalli quitlalia ce tlenhueli iihtico ce tlamantli zo ce canahya. “Juan quicalaquiz cintli calihtic para axcanah xoloniz. ”","A. nic. una persona o fiera que ponen adentro algo o en un lugar. “Juan va a meter maíz adentro para que no se moje”. ","","to put s.t. in.","calaqui, iā1.","IDIEZ"
"WHP-174472","caltia.","caltiā.","tlach3.","nic. Macehualli quichihuilia ichan iconeuh. “Pedro quinequi quicaltiz iyeyohhui pampa tlahuel quiicnelia. ”","A. nic. una persona hace la casa de su hijo. “Una muchacha que la quieren mucho,  cuando se casó le hisieron su casa”.","","to construct a house for oneʻs son or daughter.","calli, ti2, a4.","IDIEZ"
"WHP-174478","camachalli.","camachālli.","tlat.","i. Ce achi iomiyo macehualli, tecuani zo tlapiyalli tlen eltoc icamaco. “Ne pitzotl tlahuel hueyi icamachal. ”","# i. Una parte del hueso de una persona, animal silvestre y animal domestico que está dentro de su boca. “Ese puerco tiene muy grande su quijada”. ","","s.o. or s.t.’s jawbone.","camatl, chālli.","IDIEZ"
"WHP-174479","camachaloa.","camachāloā.","tlach3.","ni. Macehualli, tecuani zo tlapiyalli quitlapoa icamac. “Ne conetzin tlahuel camachaloa quemman tzahtzi. ”","A. ni. una persona o fiera abre su boca. “Ese bebé mucho abre su boca cuando llora”.","","to open one’s mouth.","camachālli, oā1.","IDIEZ"
"WHP-174492","camanaloa.","camanāloā1.","tlach3.","ni. Macehualli zaniloa quemman zan mahmahuiltia. “Gabriel tlahuel camanaloa quemman quinhuanyaitztoc itequixpoyohuan. ”","A. 1. ni. una persona habla cuando solo estan jugando. 2. mo. Las personas bromean cuando estan jugando. “Cuándo nos juntamos solo bromean mi hermano menor y mi hermana mayor","","to joke around.","camanālli, oā1.","IDIEZ"
"WHP-174529","canahua.","canāhua.","tlach2.","nic. Macehualli quixima ce huapalli tlen tilahuac ica machete pampa quinequi ma eli achi canactzin. “Jorge quicanahua ce huapalli para quicualtlaliz ce cuaxicalli. ”","	A. nic. Una persona cepilla una Madera. “Jorge adelgaza una Madera para crear una batea”. Nitla. Una persona hecha tortillas nadamas con la mano. “Mi mamá muele mucho porque tiene muchos hijos”","","to shave planks of wood and reduce their thickness.","canāhui, a4.","IDIEZ"
"WHP-174543","cantli.","cāntli.","tlat.","CĀMPĀN, CĀMPOHTIC, CĀMPALĒTAH huan CĀMPETZIQUIUHTIC iyollo. Ce achi icuetlaxxo iixxayac macehualli, tecuani zo tlapiyalli tlen quitzacua itlancoch huan inenepil; nouhquiya quitzacuilia itlacuahcual quemman tlacua [Mc. 12v]. ","","","root of CĀMPĀN, CĀMPOHTIC, CĀMPALĒTAH and CĀMPETZIQUIUHTIC. a person or an animal’s cheek. ","","IDIEZ"
"WHP-174545","capani.","capāni.","tlach2.","1. Caquizti chicahuac itecac campa motlalia quemman macehualli nehnemi. “Aracely itecac nelcapani quemman mihtotia. ” 2. Caquizti chicahuac cahuayoh, huacax zo pitzotl quemman nehnemi. “Nopa quemman yohui quinonnamaca nochi itorohhuan capantiyohuih pan ohtli. ”","	A. se escucha fuerte el zapato o huarachi donde se pone cuando la persona camina. “Aracely su zapato se escucha fuerte cuando baila”. 2 se escucha fuerte cuando una persona, fiera, animal doméstico, y una cosa, se cae. “Una ves en mi casa estaba una zarigüella ariba y cuando mi papa empezó a espantarlo ese animal se vino a caer  y se escucho bien fuerte. 	B. un sonido de algo al caerse. ","","1. for the shoes of s.o. who is running to make a loud sound. 2. for the hoofs of an animal to make a loud sound while it is walking.","","IDIEZ"
"WHP-174594","caxani.","caxāni.","tlach2.","1. Cocoxquetl poliuhtiyohua icocoliz. ""Raul caxanqui campa quitectoya macheteh. ” 2. Pehua tohtomi tlen ilpitoya. “Choloh pitzotl pampa caxanqui imecauh. ”","	A. persona enferma o lastimado se alivia. “Raúl se alivio donde le habia cortado el machete” 2. Empieza a desatarse lo que estaba amarrado. “Se huyò el puerco porque se aflojó su cuerda”. 	B. aflojarse","","1. be begin recover from an illness. 2. for s.t. that is tied to begin to loosen.","","IDIEZ"
"WHP-174596","caxanilia.","caxāniliā.","tlach3.","nic. Macehualli quitohtomilia quentzin iloh tlen ceyoc quiilpihtoc. “Quemman Jaime yohui oncuahcuahui huanya ichocho nochipa quicaxanilia icuauh; teipan ohtli tepehui icuauh huan pehua cualani. ”","# Nic. Persona que le da mas cuerda o con otra cosa desapretándolo que alguien ha amarrado muy apretado. “Cuando Jaime va a leñar con su hermano menor siempre se le desaprieta su leña; después en el camino se cae su leña y empieza a ejojarse”.","","to loosen s.t. that s.o. has tied.","caxāniā, liā2.","IDIEZ"
"WHP-174640","zaloa.","zāloā.","tlach3.","1. nic. Macehualli quimotzquiltia lazoh, mecatl zo alampreh ica ceyoc. “Notatah quizaloh alampreh ne millah pampa cotonqui, huan quinequi tlatzacuaz. ” 2. nic. Macehualli quiihtzoma ome cuetlaxtli zo yoyomitl. “Nototatah quixoleuhqui itecac huan teipan quizalohqui pampa quiicxitequiyaya calavoz. ” 3. mo. Chichimeh motzquia quemman motoquiliah. “Notatah axquiamati ma mozalocan chichimeh itlanempan pampa mocentiliah tlahuel miaquin huan mohuilanah.”","1. Persona une una cuerda, mecate o alambre con otro. “mi papa unió el alambre en la milpa porque quizó cercar.” 2. Persona cose dos cueros o tela. “mi papa desbarató su huarache y después lo cosió porque le cortaba el clavo.” 3. mo. chichimeh motzquia quemman motoquiliah. “Notata axquiamati ma mozalocan chichimeh itlanempan pampa mocentiliah tlahuel miaquin huan mohuilanah.""","","1. to join pieces of lazo, rope or wire. 2. to sew pieces of cloth or leather together. 3. for dogs to copulate.","zālihui, oā2.","IDIEZ"
"WHP-174723","cecec.","cecec.","quen.","Tlamantli tlen ayoccanah yamancatotonic pampa eltoc pan tlaceceyallotl zo eltoc caltenno quemman tlaceceya. “Ne temeh nelcecec eli ica yahuatzinco. ”","","","cold.","cecēya, cā.","IDIEZ"
"WHP-174727","ceceya.","cecēya.","tlach2.","1. ni. Pehua eli cecec macehualli itlacayo quemman xolotic. “Quemman maltia notonanan, niquillia ma motlaquenti nimantzin para ma axcanah ceceya. ” 2. Pehua eli cecec macehualli, tecuani zo tlapiyalli tlen micquiya. “Quemman micqui icompah nopa, nimantzin cecezqui. ” 3. Pehua eli cecec ce tlamantli. “Quemman tlatehteca Abril huan axquitzacua niman, tlaxcalli nimantzin ceceya. ” ","A. ni. Empieza a hacerse frio. “Cuando hechan tortillas y no lo tapan luego las tortillas, luego se enfrìan”. 	B. se enfria. ","","1. for s.o.ʻs unclothed body to get cold. 2. for a dead body to get cold. 3. for s.t. to become cold.","cētl (tlaomp. ), ya1.","IDIEZ"
"WHP-174734","cecelia.","ceceliā.","tlach3.","1. nic. Macehualli quitlalia ce tlamantli canahya campa tlacecec zo pan tepoztli para ma ceceya. “Quemman oncah ce ilhuitl huan tlatotoniya, na niccecelia miac tzopelatl pampa macehualmeh quiamatih quionizceh tlen cecec. ” 2. nimo. Macehualli maltia pampa tlahuel patzmiqui. “Na quemman tlahuel nipatzmiqui niyauh nimaltia para nimoceceliz ce quentzin. ”	 ","	A. nic. Una persona pone una cosa en un lugar donde está frio o en un aparato para que ce enfrie.”Cuando hay una fiesta y hace calor, yo enfrio muchos cafés porque las personas les gusta tomar lo frio” 2. Nimo. Una persona se baña porque tiene mucho calor. “Yo cuando tengo mucho calor voy a bañarme para enfriarme un poco”. 	B. enfriarse ","","1. to cool s.t. 2. to bathe in order to cool oneself.","cecēya, liā1.","IDIEZ"
"WHP-174808","cecui.","cecui.","tlach2.","CĒCECUI huan CECUILIZTLI iyollo. Macehualli, tecuani zo tlapiyalli huihuitoca pampa tlaceceya [Mc. 15v]. ","","","root of CĒCECUI y CECUILIZTLI. for s.o. to be cold.","cetl, cui.","IDIEZ"
"WHP-174809","cecuiztli.","cecuiztli.","tlat.","Pilatzin tlen huetzi pan ticiempreh quemman tlaceceya; zan tlaapopoteca. “Huahcauhquiya pan Zacatecas nochi macehualmeh quitequihuiyayah mohmoztlah ininchamarrah pampa nochipa oncayaya miac cecuiztli. ”","","","a cold drizzle.","cecui, liz.","IDIEZ"
"WHP-174844","cemilhuitia.","cemilhuitiā.","tlach3.","nic. /nimo. Macehualli quichihua ma itzto ce acahya ce tonatiuh canahya ica ce tequitl. “Na niccemilhuitih tepahtihquetl ni nochan pampa tlahuel timococoayayah. ”","# nic. Persona que hace que esté un día en un lugar otro con un fin. “Yo hice que el curandero estuviera todo el día en mi casa porque estábamos muy enfermos”.","","to cause s.o. to spend an entire day on a task.","cemilhuiti, a4.","IDIEZ"
"WHP-174846","cemilhuitl.","cemilhuitl.","tlat.","Ce tonatiuh yahmaxtic quemman nocca tlaneztoc zo tlamintoc tonatiuh. ""Adrian cochqui cemilhuitl pampa ihhuiya tlaixpiyato Xococatl. ""","","","all day.","cē, ilhuitl.","IDIEZ"
"WHP-174903","cempohualli.","cempōhualli.","tlat.","Ce tlapohualiztli tlen ome mahtlactli. ""Eduardo quinamaca cempohualli ipitzohuan pampa tlahuel miac quinpiya. ""","","","twenty.","cē, tlapōhualli.","IDIEZ"
"WHP-174957","cencui.","cēncui.","tlach1.","nic. Macehualli quicui nochi ce tlamantli canahya. “Niccencuic noauh pampa ica tlayohuaya ayocnimoahxiliz para zampa nihuallaz ni apan. ”","#una persona no come ni un pedasito o poquito de alguna cosa cuando no lo agarra de donde esta.”segui  con el acarreando agua por que se hace mas tarde y ya no medara tiempo para  volver a venir a la royo.”","","to take s.t. in its entirety.","cē, cui.","IDIEZ"
"WHP-175103","cetl.","cētl.","tlat.","ĀCĒTL, CECĒC, CECĒYA huan CĒHUI iyollo; axcanah motequihuia icelti. Acetl [Mc. 18v]. ","","","ice (used only in composition).","","IDIEZ"
"WHP-175185","chapolin.","chapolin.","tlat.","Ce piltecuanitzin tlen nemi pan zacatl huan xihuitl zo tlaltzintlan; ni zan huitontinemi canahya pampa quipiya ome iicxi huehhuehueyac; cequin quipiyah ome ieltlapal tlen ica patlanih. “Naman ininpohual chapolimeh, yeca zan tlahuitontoc pan zacatl.”","","","grasshopper.","","IDIEZ"
"WHP-175232","chichic.","chichic2.","quen.","Tlamantli atl, tlacualli, xihuitl zo cuatlacquetl tlen momachilia quence cafeh tlen tlahuel mopanoc quemman quicacatzohqueh. “Maria icafeh mocahua tlahuel chichic pampa quitemilih miac cafentlatixtli. ”","","","s.t. bitter.","chichiya, cā.","IDIEZ"
"WHP-175235","chichicatl.","chichicatl.","tlat.","1. no. Ce achi itlacayo macehualli, tecuani zo tlapiyalli tlen eltoc iihtico huan nechca ieltlapach; quipiya iayo chichic. “Yalhuaya quimictiqueh ce huacax huan quiquixtihqueh ichichica huan quicuamahcauhqueh. ” 2. Chichicatl iayo: tlahuel chichic. “Quimictihqueh ce toroh huan naman noconeuh quimacaqueh ma quioni ichichica para eli tlahuel tetic. ”","","","1. a person or animal’s gall bladder. 2. a person or animal’s bile.","chichic, ātl.","IDIEZ"
"WHP-175262","chichiltic.","chīchīltic.","quen.","Tecuani zo tlamantli iixnezca tlen tlachiya quence eztli. “Ne cuachenche icuachamoleh tlahuel chichiltic huan yehyectzin neci. ”","","","the color red.","chīlli (tlaomp. ), ti1, cā.","IDIEZ"
"WHP-175266","chichina.","chichīna.","tlach2.","nic. Macehualli, tecuani zo tlapiyalli quicamatlalia ce tlamantli huan quiquixtilia iayo huan iahhuiacca. ""Angelica quicua ce alaxox, quichichina iayo huan ipachcho quiquixtia. ""","	A. nic. Una persona y un animal domestico pone algo en su boca y lo saca su jugo. “Angelica come una naranja, chopa su jugo y su cascara lo saca”. 	B. sacarle jugo algo ","","to suck the juice from s.t.","","IDIEZ"
"WHP-175279","chichinoa.","chichinoā.","tlach3.","nic. Macehualli quitlalia ce tlamantli pan tlitl huan quemman tlatla eli yayahuic. “Yalhuaya ticnehnemiltitoh tonantzin; tichuicaqueh cantelah tlatlatoc huan quichichinohqueh notzoncal. ”","# una persona pone una cosa en la lumbre y cuando se quema se hace negro. “ayer fuimos a pasear la virgen con vela prendida y quemaron mi cabello”.","","to burn s.t. to a crisp.","chinoā (tlaomp. )","IDIEZ"
"WHP-175283","chichipica.","chichipica.","","Nouhquiya PIPICHICA huan CHOCHOPICA. Temo iayo zo iezzo tlahtlatoctzitzin ce tlamantli zo ce achi itlacayo macehualli, tecuani zo tlapiyalli campa motectoc. “Tlahuel chichipica itlaquen Pedro icihuauh pampa axquiayopatzqui cualli. ”","# el agua y la sangre baja/gotea cada rato donde esta colgado algo que tiene agua. “la cobija de la esposa de Pedro gotea mucho porque no lo exprimió bien”. ","","to drip.","chipīni (tlaomp. )","IDIEZ"
"WHP-175296","chichitia.","chīchītiā","tlach3.","nic. Macehualli, tecuani zo tlapiyali cihuatl quimaca lechih iconeuh pan ichichi. ""Maria quichichitia iconeuh pampa tlahuel mayana. ""","	A. nic./nitla. Una mujer o un animal silvestre le dá leche a su hijo en su pecho. “ 	B. amamantar. ","","to breastfeed s.o.","chīchī, tiā1.","IDIEZ"
"WHP-175323","chicoltic.","chicōltic.","quen.","Nouhquiya CHIHCOLTIC. Cuahuitl tlen axcanah xitlahuac. “Na niquillia Elpidio tictzontectozquiah ne tiocuahuitl pampa mozcaltia chicoltic huan teipan axcanah hueliz tictequihuiah. ”","","","crooked tree or stick.","chicōlli, ti1, cā.","IDIEZ"
"WHP-175325","chicome.","chicōme.","tlat.","Ce tlapohualiztli tlen nouhquiya quiilliah macuilli huan ome. “Adrian quipiya chicome xihuitl huan ayicanah yohui caltlamachtihquetl. ”","","","seven.","chico, ōme.","IDIEZ"
"WHP-175769","chantli.","chāntli.","","Ni tlahtolli quemmantica motequihuia quence tlatocaxtiliztli huan quemmantica quence tlapantiliztli. 1. no. Calli tlen macehualli pan itztoc huanya iconehuan. ""Ne nochan quipiya miac xihuitl huan zan queipan eltoc. ” 2. no. Pan calli tlen macehualli pan itztoc huanya iconehuan. “Quemman niitztoya nochan noceltitzin, nechmahmauhtih ce miccatzin. ” “Zan quen niquizteuhqui nochan peuhqui tlaahuetzi chicahuac. ”","","","1. s.o.ʻs house or home. 2. In or at s.o.ʻs house or home.","","IDIEZ"
"WHP-175779","coyotl.","coyōtl.","tlat.","Ce totlayi tlen axcanah macehualli, axcanah nahuati huan itztoc altepeco. “Tecomate itztoc ce coyotl tlen tlahuel mocicinia pampa panoh macehualmeh pan itlalhui. ”","","","non-indigenous man, a city-man.","","IDIEZ"
"WHP-175880","tlachpana.","tlachpāna.","tlach2.","ni. Macehualli quiolchoa tlazolli ica ce tlachpohuaztli. “Notionan tlachpana icalmapan pampa quipiyaz ce tlaixpiyalli huan axquinequi ma elto tlazoltitlan. ”","	A. Una persona amontona basura con una escoba. “Mi madrina barre enfrente de su casa para que no este feo”. 	B. Barrer. ","","ni. to sweep.","tla1, ochpāna.","IDIEZ"
"WHP-175920","ixtli.","īxtli.","tlat.","ĪXCO, ĪXTLAPĀNA huan miac tlahtolli iyollo. Macehualli, tecuani zo tlapiyalli ixtiyol zo ixxayac; tlamantli iixco [Mc. 48v; K. 121]. ","","","root of ĪXCO, ĪXTLAPĀNA and many other words. eye, face and by extension, surface.","","IDIEZ"
"WHP-175926","macuilli.","mācuīlli.","tlat.","Ce tlapohualiztli tlen nouhquiya quilliah nahui huan ce. “Pan macuilli tonatiuh tiyazceh tiquinpaxalotih nototahhuan pampa huauhcauhquiya axtiyahtoqueh. ”","","","five.","māitl, cuī (tlachiuhtli).","IDIEZ"
"WHP-176006","axcaitl.","āxcāitl.","tlat.","no. Tlapiyalli zo tlamantli tlen macehualli motechtia. “Ne tlalli tlen eltoc icalnechca noconeuh noaxca huan yeca axnicnequi ma pan tequitican. ”","la propiedad de alguien.","","s.o.ʻs property.","","IDIEZ"
